-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.782, 80.157, 0.520,  0.346
-183.771, 80.137, 0.598,  0.379
-183.757, 80.115, 0.668,  0.412
-183.740, 80.091, 0.769,  0.445
-183.720, 80.064, 0.847,  0.478
-183.697, 80.035, 0.932,  0.511
-183.673, 80.005, 0.994,  0.544
-183.647, 79.973, 1.058,  0.577
-183.619, 79.940, 1.108,  0.610
-183.589, 79.906, 1.154,  0.643
-183.557, 79.871, 1.205,  0.676
-183.525, 79.835, 1.258,  0.709
-183.492, 79.799, 1.307,  0.742
-183.458, 79.761, 1.349,  0.775
-183.424, 79.723, 1.383,  0.808
-183.389, 79.684, 1.410,  0.841
-183.354, 79.645, 1.432,  0.874
-183.319, 79.606, 1.449,  0.907
-183.284, 79.567, 1.462,  0.940
-183.248, 79.528, 1.472,  0.973
-183.212, 79.488, 1.480,  1.006
-183.176, 79.449, 1.486,  1.039
-183.140, 79.411, 1.491,  1.072
-183.104, 79.372, 1.495,  1.105
-183.068, 79.333, 1.498,  1.138
-183.032, 79.295, 1.501,  1.171
-182.995, 79.257, 1.504,  1.204
-182.959, 79.219, 1.507,  1.237
-182.922, 79.181, 1.510,  1.270
-182.886, 79.143, 1.513,  1.303
-182.849, 79.105, 1.516,  1.336
-182.812, 79.067, 1.520,  1.369
-182.775, 79.030, 1.524,  1.402
-182.739, 78.992, 1.528,  1.435
-182.702, 78.954, 1.532,  1.468
-182.665, 78.917, 1.536,  1.501
-182.627, 78.879, 1.540,  1.534
-182.590, 78.841, 1.544,  1.567
-182.553, 78.804, 1.549,  1.600
-182.516, 78.766, 1.553,  1.633
-182.479, 78.728, 1.557,  1.666
-182.442, 78.690, 1.562,  1.699
-182.405, 78.652, 1.566,  1.732
